S96-A01,NTC,NTC,1,16S_Eub_338_518,Test,999,-1,0,Flag,0.0133288501073477,999,999,0
S96-A02,NTC,NTC,1,16S_Eub_338_518,Test,999,-1,0,Flag,0.0133288501073477,999,999,0
S96-A03,NTC,NTC,1,16S_Eub_338_518,Test,999,-1,0,Flag,0.0133288501073477,999,999,0
S96-A04,NTC,NTC,1,sul1 NEW,Test,999,-1,0,Flag,0.0133288501073477,999,999,0
S96-A05,NTC,NTC,1,sul1 NEW,Test,999,-1,0,Flag,0.0133288501073477,999,999,0
S96-A06,NTC,NTC,1,sul1 NEW,Test,999,-1,0,Flag,0.0133288501073477,999,999,0
S96-A07,NTC,NTC,1,erm(36),Test,999,-1,0,Flag,0.0133288501073477,999,999,0
S96-A08,NTC,NTC,1,erm(36),Test,999,-1,0,Flag,0.0133288501073477,999,999,0
S96-A09,NTC,NTC,1,erm(36),Test,999,-1,0,Flag,0.0133288501073477,999,999,0
S96-A10,NTC,NTC,1,tetW,Test,999,-1,0,Flag,0.0133288501073477,999,999,0
S96-A11,NTC,NTC,1,tetW,Test,999,-1,0,Flag,0.0133288501073477,999,999,0
S96-A12,NTC,NTC,1,tetW,Test,999,-1,0,Flag,0.0133288501073477,999,999,0
S96-A13,NTC,NTC,1,aac3-Via,Test,999,-1,0,Flag,0.0133288501073477,999,999,0
S96-A14,NTC,NTC,1,aac3-Via,Test,999,-1,0,Flag,0.0133288501073477,999,999,0
S96-A15,NTC,NTC,1,aac3-Via,Test,999,-1,0,Flag,0.0133288501073477,999,999,0
S96-A16,NTC,NTC,1,sul2,Test,999,-1,0,Flag,0.0133288501073477,999,999,0
S96-A17,NTC,NTC,1,sul2,Test,999,-1,0,Flag,0.0133288501073477,999,999,0
S96-A18,NTC,NTC,1,sul2,Test,999,-1,0,Flag,0.0133288501073477,999,999,0
S96-A19,NTC,NTC,1,erm(C),Test,999,-1,0,Flag,0.0133288501073477,999,999,0
S96-A20,NTC,NTC,1,erm(C),Test,999,-1,0,Flag,0.0133288501073477,999,999,0
S96-A21,NTC,NTC,1,erm(C),Test,999,-1,0,Flag,0.0133288501073477,999,999,0
S96-A22,NTC,NTC,1,tetX,Test,999,-1,0,Flag,0.0133288501073477,999,999,0
S96-A23,NTC,NTC,1,tetX,Test,999,-1,0,Flag,0.0133288501073477,999,999,0
S96-A24,NTC,NTC,1,tetX,Test,999,-1,0,Flag,0.0133288501073477,999,999,0
S96-A25,NTC,NTC,1,aadA17,Test,999,-1,0,Flag,0.0133288501073477,999,999,0
S96-A26,NTC,NTC,1,aadA17,Test,999,-1,0,Flag,0.0133288501073477,999,999,0
S96-A27,NTC,NTC,1,aadA17,Test,999,-1,0,Flag,0.0133288501073477,999,999,0
S96-A28,NTC,NTC,1,tetbP,Test,999,-1,0,Flag,0.0133288501073477,999,999,0
S96-A29,NTC,NTC,1,tetbP,Test,999,-1,0,Flag,0.0133288501073477,999,999,0
S96-A30,NTC,NTC,1,tetbP,Test,999,-1,0,Flag,0.0133288501073477,999,999,0
S96-A31,NTC,NTC,1,int1-a-marko,Test,999,-1,0,Flag,0.0133288501073477,999,999,0
S96-A32,NTC,NTC,1,int1-a-marko,Test,999,-1,0,Flag,0.0133288501073477,999,999,0
S96-A33,NTC,NTC,1,int1-a-marko,Test,999,-1,0,Flag,0.0133288501073477,999,999,0
S96-A34,NTC,NTC,1,tnpA1,Test,999,-1,0,Flag,0.0133288501073477,999,999,0
S96-A35,NTC,NTC,1,tnpA1,Test,999,-1,0,Flag,0.0133288501073477,999,999,0
S96-A36,NTC,NTC,1,tnpA1,Test,999,-1,0,Flag,0.0133288501073477,999,999,0
S96-A37,NTC,NTC,1,aadA9,Test,999,-1,0,Flag,0.0133288501073477,999,999,0
S96-A38,NTC,NTC,1,aadA9,Test,999,-1,0,Flag,0.0133288501073477,999,999,0
S96-A39,NTC,NTC,1,aadA9,Test,999,-1,0,Flag,0.0133288501073477,999,999,0
S96-A40,NTC,NTC,1,tetG_F,Test,999,-1,0,Flag,0.0133288501073477,999,999,0
S96-A41,NTC,NTC,1,tetG_F,Test,999,-1,0,Flag,0.0133288501073477,999,999,0
S96-A42,NTC,NTC,1,tetG_F,Test,999,-1,0,Flag,0.0133288501073477,999,999,0
